num_step,seed_5,seed_10,seed_15,seed_20,seed_25
1,9.580107871443033e-07,6.67001586407423e-07,6.250047590583563e-07,5.00003807246685e-07,5.830079317092896e-07
2,3.340246621519327e-07,2.9199873097240925e-07,2.910092007368803e-07,2.9199873097240925e-07,3.7500285543501377e-07
3,1.2500095181167126e-07,1.2500095181167126e-07,1.6600824892520905e-07,1.2500095181167126e-07,2.0800507627427578e-07
4,2.910092007368803e-07,2.9199873097240925e-07,2.910092007368803e-07,2.9199873097240925e-07,2.910092007368803e-07
5,1.66997779160738e-07,1.66997779160738e-07,2.0800507627427578e-07,2.499727997928858e-07,2.500019036233425e-07
6,1.2500095181167126e-07,1.2500095181167126e-07,2.0899460650980473e-07,1.6600824892520905e-07,1.66997779160738e-07
7,2.0800507627427578e-07,1.6600824892520905e-07,2.0797597244381905e-07,1.2500095181167126e-07,1.2500095181167126e-07
8,2.0800507627427578e-07,1.659791450947523e-07,1.66997779160738e-07,1.66997779160738e-07,1.6600824892520905e-07
9,1.2500095181167126e-07,1.2500095181167126e-07,1.66997779160738e-07,2.0800507627427578e-07,1.2500095181167126e-07
10,1.66997779160738e-07,1.2500095181167126e-07,8.297502063214779e-08,1.2500095181167126e-07,2.0797597244381905e-07
11,1.66997779160738e-07,2.0899460650980473e-07,1.6600824892520905e-07,1.2500095181167126e-07,1.66997779160738e-07
12,1.659791450947523e-07,1.2500095181167126e-07,1.6600824892520905e-07,1.6600824892520905e-07,1.659791450947523e-07
13,8.399365469813347e-08,1.6600824892520905e-07,1.66997779160738e-07,1.2500095181167126e-07,1.2497184798121452e-07
14,1.2500095181167126e-07,1.659791450947523e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.6702688299119473e-07
15,1.2500095181167126e-07,1.659791450947523e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07
16,8.40227585285902e-08,8.300412446260452e-08,1.2500095181167126e-07,1.2500095181167126e-07,1.6600824892520905e-07
17,1.2500095181167126e-07,1.6600824892520905e-07,1.2500095181167126e-07,1.66997779160738e-07,1.66997779160738e-07
18,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07
19,1.6600824892520905e-07,1.2500095181167126e-07,8.300412446260452e-08,1.2500095181167126e-07,7.541995728388429e-06
20,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.659791450947523e-07
21,1.6600824892520905e-07,1.6600824892520905e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07
22,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07
23,1.2500095181167126e-07,1.66997779160738e-07,1.2500095181167126e-07,8.399365469813347e-08,1.659791450947523e-07
24,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07,8.399365469813347e-08,8.297502063214779e-08
25,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.66997779160738e-07,1.2500095181167126e-07
26,8.399365469813347e-08,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07
27,1.2500095181167126e-07,1.659791450947523e-07,1.2500095181167126e-07,1.66997779160738e-07,1.66997779160738e-07
28,1.2500095181167126e-07,1.66997779160738e-07,1.2500095181167126e-07,1.6600824892520905e-07,1.6600824892520905e-07
29,1.2500095181167126e-07,8.300412446260452e-08,1.2500095181167126e-07,1.2500095181167126e-07,8.399365469813347e-08
30,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07
31,8.300412446260452e-08,8.399365469813347e-08,1.2500095181167126e-07,8.300412446260452e-08,1.2500095181167126e-07
32,8.399365469813347e-08,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.66997779160738e-07
33,1.2500095181167126e-07,1.2500095181167126e-07,1.66997779160738e-07,1.2500095181167126e-07,1.2500095181167126e-07
34,1.2500095181167126e-07,1.66997779160738e-07,1.2500095181167126e-07,8.300412446260452e-08,3.33995558321476e-07
35,8.300412446260452e-08,1.659791450947523e-07,1.6600824892520905e-07,1.2500095181167126e-07,1.66997779160738e-07
36,1.2500095181167126e-07,1.66997779160738e-07,1.2500095181167126e-07,1.6600824892520905e-07,1.66997779160738e-07
37,1.2500095181167126e-07,1.2500095181167126e-07,1.2500095181167126e-07,1.659791450947523e-07,1.66997779160738e-07
38,1.2500095181167126e-07,1.2500095181167126e-07,1.66997779160738e-07,8.297502063214779e-08,1.2500095181167126e-07
