num_step,seed_5,seed_10,seed_15,seed_20,seed_25
1,8.750066626816988e-07,5.00003807246685e-07,6.250047590583563e-07,7.920025382190943e-07,5.830079317092896e-07
2,2.500019036233425e-07,2.500019036233425e-07,3.3300602808594704e-07,3.33995558321476e-07,4.169996827840805e-07
3,1.66997779160738e-07,1.66997779160738e-07,1.66997779160738e-07,1.2500095181167126e-07,1.66997779160738e-07
4,2.910092007368803e-07,3.329769242554903e-07,2.910092007368803e-07,3.3300602808594704e-07,2.9199873097240925e-07
5,2.0800507627427578e-07,1.66997779160738e-07,2.500019036233425e-07,2.0800507627427578e-07,2.0902371034026146e-07
6,8.300412446260452e-08,1.66997779160738e-07,1.6600824892520905e-07,1.66997779160738e-07,1.66997779160738e-07
7,1.66997779160738e-07,1.2500095181167126e-07,2.500019036233425e-07,2.0902371034026146e-07,1.66997779160738e-07
8,2.0800507627427578e-07,2.0800507627427578e-07,1.66997779160738e-07,1.66997779160738e-07,1.66997779160738e-07
9,2.9199873097240925e-07,5.830079317092896e-07,2.0800507627427578e-07,1.659791450947523e-07,2.0902371034026146e-07
10,2.0797597244381905e-07,2.500019036233425e-07,3.33995558321476e-07,2.499727997928858e-07,3.3300602808594704e-07
11,5.00003807246685e-07,3.3300602808594704e-07,5.410111043602228e-07,1.66997779160738e-07,5.420006345957518e-07
12,5.420006345957518e-07,4.580069798976183e-07,1.2910168152302504e-06,5.840265657752752e-07,7.080088835209608e-07
13,5.830079317092896e-07,3.3300602808594704e-07,5.00003807246685e-07,4.580069798976183e-07,3.7500285543501377e-07
14,1.2080126907676458e-06,6.67001586407423e-07,7.500057108700275e-07,3.7500285543501377e-07,4.5899651013314724e-07
15,5.420006345957518e-07,2.910092007368803e-07,6.67001586407423e-07,6.250047590583563e-07,9.170034900307655e-07
16,4.5899651013314724e-07,5.410111043602228e-07,2.2920139599591494e-06,5.420006345957518e-07,6.67001586407423e-07
17,4.5899651013314724e-07,6.249756552278996e-07,6.659829523414373e-07,7.089984137564898e-07,7.920025382190943e-07
18,5.830079317092896e-07,5.830079317092896e-07,5.00003807246685e-07,5.830079317092896e-07,5.00003807246685e-07
19,5.00003807246685e-07,4.5899651013314724e-07,6.250047590583563e-07,5.420006345957518e-07,5.00003807246685e-07
20,8.750066626816988e-07,4.580069798976183e-07,5.00003807246685e-07,3.7500285543501377e-07,5.830079317092896e-07
21,5.420006345957518e-07,3.7500285543501377e-07,9.159848559647799e-07,1.2500095181167126e-06,4.169996827840805e-07
22,4.580069798976183e-07,4.1601015254855156e-07,5.830079317092896e-07,5.420006345957518e-07,3.7500285543501377e-07
23,1.2499804142862558e-06,4.169996827840805e-07,5.00003807246685e-07,5.00003807246685e-07,3.33995558321476e-07
24,5.830079317092896e-07,6.249756552278996e-07,3.7500285543501377e-07,5.00003807246685e-07,3.7500285543501377e-07
25,5.00003807246685e-07,5.410111043602228e-07,7.920025382190943e-07,3.3300602808594704e-07,6.67001586407423e-07
26,7.079797796905041e-07,4.169996827840805e-07,5.00003807246685e-07,7.080088835209608e-07,7.500057108700275e-07
27,4.580069798976183e-07,5.00003807246685e-07,5.830079317092896e-07,1.1659867595881224e-06,5.00003807246685e-07
28,5.839974619448185e-07,7.079797796905041e-07,6.67001586407423e-07,5.420006345957518e-07,1.2090022210031748e-06
29,4.169996827840805e-07,4.5899651013314724e-07,7.500057108700275e-07,5.00003807246685e-07,4.5899651013314724e-07
30,6.67001586407423e-07,4.1601015254855156e-07,8.33999365568161e-07,5.830079317092896e-07,6.249756552278996e-07
31,5.00003807246685e-07,3.7500285543501377e-07,6.67001586407423e-07,4.580069798976183e-07,5.829788278788328e-07
32,5.00003807246685e-07,4.5797787606716156e-07,3.7500285543501377e-07,1.00000761449337e-06,5.420006345957518e-07
33,6.250047590583563e-07,1.3329845387488604e-06,4.5902561396360397e-07,4.5899651013314724e-07,3.33995558321476e-07
34,5.420006345957518e-07,4.5797787606716156e-07,5.00003807246685e-07,5.00003807246685e-07,5.00003807246685e-07
35,6.660120561718941e-07,4.5899651013314724e-07,5.00003807246685e-07,5.420006345957518e-07,5.830079317092896e-07
36,4.999747034162283e-07,5.00003807246685e-07,4.5797787606716156e-07,6.660120561718941e-07,4.5797787606716156e-07
37,4.169996827840805e-07,5.830079317092896e-07,5.409820005297661e-07,4.580069798976183e-07,5.00003807246685e-07
38,6.249756552278996e-07,3.329769242554903e-07,5.409820005297661e-07,7.909839041531086e-07,4.5899651013314724e-07
39,5.420006345957518e-07,4.5899651013314724e-07,6.250047590583563e-07,5.410111043602228e-07,5.839974619448185e-07
40,7.920025382190943e-07,6.250047590583563e-07,4.1601015254855156e-07,5.00003807246685e-07,7.920025382190943e-07
41,5.00003807246685e-07,5.00003807246685e-07,6.250047590583563e-07,5.00003807246685e-07,6.250047590583563e-07
42,5.00003807246685e-07,3.3300602808594704e-07,5.420006345957518e-07,7.499766070395708e-07,5.00003807246685e-07
43,5.829788278788328e-07,5.420006345957518e-07,6.67001586407423e-07,7.500057108700275e-07,4.5899651013314724e-07
44,5.00003807246685e-07,6.250047590583563e-07,5.420006345957518e-07,2.9199873097240925e-07,5.839974619448185e-07
45,5.829788278788328e-07,5.420006345957518e-07,3.7500285543501377e-07,4.999747034162283e-07,5.420006345957518e-07
46,5.839974619448185e-07,6.659829523414373e-07,1.2499804142862558e-06,6.67001586407423e-07,5.420006345957518e-07
47,3.3300602808594704e-07,5.830079317092896e-07,7.089984137564898e-07,6.67001586407423e-07,4.169996827840805e-07
48,5.830079317092896e-07,7.080088835209608e-07,1.207983586937189e-06,4.5899651013314724e-07,7.920025382190943e-07
49,8.330098353326321e-07,3.33995558321476e-07,4.5797787606716156e-07,7.089984137564898e-07,9.170034900307655e-07
50,4.5797787606716156e-07,1.00000761449337e-06,6.67001586407423e-07,6.250047590583563e-07,5.420006345957518e-07
51,3.7500285543501377e-07,7.090275175869465e-07,4.5797787606716156e-07,4.5899651013314724e-07,4.580069798976183e-07
52,5.839974619448185e-07,5.00003807246685e-07,5.410111043602228e-07,5.830079317092896e-07,5.410111043602228e-07
53,1.207983586937189e-06,4.5899651013314724e-07,5.00003807246685e-07,6.250047590583563e-07,7.500057108700275e-07
54,7.500057108700275e-07,4.999747034162283e-07,5.00003807246685e-07,5.00003807246685e-07,5.00003807246685e-07
55,3.7500285543501377e-07,4.999747034162283e-07,4.5797787606716156e-07,5.420006345957518e-07,4.169996827840805e-07
56,5.420006345957518e-07,4.169996827840805e-07,4.169996827840805e-07,4.169996827840805e-07,4.580069798976183e-07
57,5.829788278788328e-07,1.166015863418579e-06,4.1601015254855156e-07,6.249756552278996e-07,5.420006345957518e-07
58,5.830079317092896e-07,5.830079317092896e-07,5.839974619448185e-07,5.839974619448185e-07,5.41971530765295e-07
59,5.00003807246685e-07,1.2500095181167126e-06,1.4169781934469938e-06,5.420006345957518e-07,5.829788278788328e-07
60,6.67001586407423e-07,5.00003807246685e-07,4.5902561396360397e-07,5.420006345957518e-07,3.7500285543501377e-07
61,7.079797796905041e-07,5.410111043602228e-07,3.7500285543501377e-07,4.5797787606716156e-07,6.67001586407423e-07
62,5.00003807246685e-07,5.830079317092896e-07,6.250047590583563e-07,6.250047590583563e-07,5.830079317092896e-07
63,5.00003807246685e-07,5.409820005297661e-07,5.00003807246685e-07,5.00003807246685e-07,4.580069798976183e-07
64,4.580069798976183e-07,5.00003807246685e-07,5.420006345957518e-07,3.7500285543501377e-07,1.1250085663050413e-06
65,4.580069798976183e-07,4.999747034162283e-07,4.999747034162283e-07,6.67001586407423e-07,5.420006345957518e-07
66,4.580069798976183e-07,5.00003807246685e-07,1.374981366097927e-06,3.7500285543501377e-07,4.999747034162283e-07
67,8.750066626816988e-07,1.3329845387488604e-06,5.00003807246685e-07,5.839974619448185e-07,5.420006345957518e-07
68,5.420006345957518e-07,6.250047590583563e-07,5.00003807246685e-07,6.249756552278996e-07,3.7500285543501377e-07
69,5.00003807246685e-07,1.2920063454657793e-06,4.5797787606716156e-07,4.580069798976183e-07,1.4590041246265173e-06
70,3.7500285543501377e-07,6.660120561718941e-07,7.500057108700275e-07,6.659829523414373e-07,4.5899651013314724e-07
71,4.169996827840805e-07,6.250047590583563e-07,3.7500285543501377e-07,8.330098353326321e-07,6.250047590583563e-07
72,7.080088835209608e-07,6.67001586407423e-07,7.920025382190943e-07,6.67001586407423e-07,5.420006345957518e-07
73,1.3329845387488604e-06,2.9199873097240925e-07,4.169996827840805e-07,2.500019036233425e-07,5.420006345957518e-07
74,5.409820005297661e-07,5.00003807246685e-07,4.999747034162283e-07,6.250047590583563e-07,5.420006345957518e-07
75,6.250047590583563e-07,5.830079317092896e-07,3.7500285543501377e-07,4.5899651013314724e-07,7.080088835209608e-07
76,5.00003807246685e-07,5.839974619448185e-07,5.00003807246685e-07,5.420006345957518e-07,5.00003807246685e-07
77,6.660120561718941e-07,5.839974619448185e-07,5.00003807246685e-07,4.169996827840805e-07,5.830079317092896e-07
78,5.00003807246685e-07,1.0420044418424368e-06,6.250047590583563e-07,5.410111043602228e-07,5.420006345957518e-07
79,6.67001586407423e-07,4.580069798976183e-07,5.839974619448185e-07,4.169996827840805e-07,4.169996827840805e-07
80,5.839974619448185e-07,3.7500285543501377e-07,7.920025382190943e-07,5.839974619448185e-07,4.169996827840805e-07
81,5.420006345957518e-07,5.00003807246685e-07,5.420006345957518e-07,4.580069798976183e-07,4.169996827840805e-07
82,4.580069798976183e-07,4.5899651013314724e-07,4.159810487180948e-07,5.830079317092896e-07,5.00003807246685e-07
83,3.7500285543501377e-07,5.00003807246685e-07,4.580069798976183e-07,6.250047590583563e-07,6.669724825769663e-07
84,5.830079317092896e-07,5.830079317092896e-07,3.3300602808594704e-07,3.7500285543501377e-07,5.00003807246685e-07
85,6.249756552278996e-07,5.420006345957518e-07,5.00003807246685e-07,5.00003807246685e-07,4.580069798976183e-07
86,5.420006345957518e-07,2.9199873097240925e-07,4.169996827840805e-07,4.580069798976183e-07,1.3329845387488604e-06
87,1.3750104699283838e-06,4.169996827840805e-07,6.250047590583563e-07,5.420006345957518e-07,5.409820005297661e-07
88,7.080088835209608e-07,8.329807315021753e-07,5.41971530765295e-07,2.9199873097240925e-07,4.1601015254855156e-07
89,6.67001586407423e-07,5.420006345957518e-07,5.409820005297661e-07,4.159810487180948e-07,1.0410149116069078e-06
90,5.420006345957518e-07,7.080088835209608e-07,5.00003807246685e-07,5.00003807246685e-07,4.169996827840805e-07
91,5.00003807246685e-07,5.00003807246685e-07,1.167005393654108e-06,5.00003807246685e-07,6.660120561718941e-07
92,4.5899651013314724e-07,1.0829826351255178e-06,7.079797796905041e-07,5.839974619448185e-07,4.999747034162283e-07
93,3.7497375160455704e-07,5.830079317092896e-07,6.249756552278996e-07,5.830079317092896e-07,1.500011421740055e-06
94,4.5899651013314724e-07,7.080088835209608e-07,5.420006345957518e-07,7.089984137564898e-07,4.5797787606716156e-07
95,5.00003807246685e-07,5.830079317092896e-07,4.580069798976183e-07,5.829788278788328e-07,5.420006345957518e-07
96,5.00003807246685e-07,4.169996827840805e-07,5.830079317092896e-07,8.330098353326321e-07,5.420006345957518e-07
97,7.500057108700275e-07,4.1601015254855156e-07,4.580069798976183e-07,4.169996827840805e-07,5.420006345957518e-07
98,5.830079317092896e-07,5.410111043602228e-07,5.00003807246685e-07,5.410111043602228e-07,4.999747034162283e-07
99,5.00003807246685e-07,6.250047590583563e-07,7.089984137564898e-07,4.580069798976183e-07,7.080088835209608e-07
100,4.169996827840805e-07,5.830079317092896e-07,5.420006345957518e-07,7.080088835209608e-07,4.1601015254855156e-07
101,5.830079317092896e-07,4.159810487180948e-07,4.580069798976183e-07,5.420006345957518e-07,4.580069798976183e-07
102,4.5899651013314724e-07,6.660120561718941e-07,4.5797787606716156e-07,5.420006345957518e-07,4.5797787606716156e-07
103,5.420006345957518e-07,6.250047590583563e-07,3.3300602808594704e-07,4.999747034162283e-07,1.2090022210031748e-06
104,5.00003807246685e-07,5.830079317092896e-07,4.5899651013314724e-07,6.250047590583563e-07,5.00003807246685e-07
105,4.1601015254855156e-07,7.090275175869465e-07,6.250047590583563e-07,4.5899651013314724e-07,6.250047590583563e-07
106,4.580069798976183e-07,6.250047590583563e-07,5.00003807246685e-07,6.249756552278996e-07,5.00003807246685e-07
107,6.67001586407423e-07,6.250047590583563e-07,6.250047590583563e-07,5.830079317092896e-07,4.5797787606716156e-07
108,5.00003807246685e-07,4.169996827840805e-07,5.420006345957518e-07,6.669724825769663e-07,4.169996827840805e-07
109,4.580069798976183e-07,5.829788278788328e-07,4.169996827840805e-07,6.67001586407423e-07,5.41971530765295e-07
110,5.420006345957518e-07,3.7500285543501377e-07,5.00003807246685e-07,5.839974619448185e-07,3.7500285543501377e-07
111,5.00003807246685e-07,7.910130079835653e-07,6.250047590583563e-07,3.7500285543501377e-07,5.420006345957518e-07
112,5.00003807246685e-07,5.830079317092896e-07,5.420006345957518e-07,6.67001586407423e-07,7.500057108700275e-07
113,5.409820005297661e-07,6.250047590583563e-07,5.830079317092896e-07,4.169996827840805e-07,6.250047590583563e-07
